name,amount
ORG TABBY,656
SABLE,23
GOLD,90
TORTIE,523
SLVR TIGER,19
UNKNOWN,195
YELLOW,163
BLUE PT,8
BLUE MERLE,31
BLACK,5430
SLVR TABBY,19
BRN TABBY,1140
BLK TIGER,48
BLUE TICK,7
BLONDE,4
CHOC PT,24
BLUE SMOKE,1
BLUE TABBY,1
BROWN,2079
BLK TABBY,308
RED MERLE,11
BEIGE,1
BR BRINDLE,460
CHOCOLATE,160
GRAY TABBY,642
BLUE CREAM,3
RED,367
BL BRINDLE,113
ORANGE,378
BRINDLE,2
TAN,910
LILAC PT,12
EMPTY,2
BUFF,205
FAWN,137
PINK,16
SEAL PT,58
GRAY,1665
APRICOT,20
MAHOGANY,1
TRICOLOR,478
SILVER,51
MERLE,1
CALICO PT,4
RUDDY,1
SL LYNX PT,3
WHITE,2224
CRM TABBY,25
CALICO,489
BRN TIGER,130
BLUE,162
LYNX PT,43
BLK SMOKE,30
FLAME PT,25
GRAY TIGER,160
TORTIE PT,15
TORTI,2
LIVER,4
ORG TIGER,71
GREEN,6
BRN MERLE,24
BLUE TIGER,1
CREAM,188
